JavaScript,1585
Python,734
Java,469
C++,363
C,283
Ruby,282
null,239
PHP,236
C#,225
Objective-C,207
Go,193
HTML,132
CSS,115
CoffeeScript,97
Scala,91
Shell,89
Jupyter Notebook,87
Clojure,73
Swift,62
Lua,61
Haskell,59
Rust,55
ActionScript,42
R,38
TypeScript,33
Erlang,32
Perl,30
VimL,29
Matlab,29
D,20
Haxe,19
TeX,18
Common Lisp,17
F#,17
Elixir,14
Scheme,13
Julia,11
Emacs Lisp,10
Kotlin,10
OCaml,10
Pascal,10
Crystal,8
Dart,8
Nimrod,6
HaXe,5
PLpgSQL,5
Processing,5
PowerShell,4
CMake,4
Groovy,4
Vala,3
Standard ML,3
MoonScript,3
Elm,3
Assembly,3
Objective-C++,3
GDScript,3
Racket,3
QML,3
Tcl,3
Io,3
ApacheConf,3
Ceylon,2
Visual Basic,2
LiveScript,2
ooc,2
OpenEdge ABL,2
AutoHotkey,2
Groff,2
Makefile,2
Batchfile,2
Logos,2
Smalltalk,2
Objective-J,2
Web Ontology Language,2
Zephir,1
Parrot,1
COBOL,1
Eiffel,1
Handlebars,1
ASP,1
Brainfuck,1
Mirah,1
13,1
12,1
Red,1
Prolog,1
Apex,1
SAS,1
LoomScript,1
Delphi,1
LLVM,1
VHDL,1
Pony,1
Golo,1
PureScript,1
Dylan,1
SQLPL,1
20,1
10,1
Mathematica,1
Awk,1
Limbo,1
Coq,1
168,1
Rebol,1
Cuda,1
DCPU-16 ASM,1
NetLinx,1
Gosu,1
Frege,1
Pike,1
Vue,1
Ecl,1
Scilab,1
Puppet,1
REALbasic,1
Max,1
