,precision,recall
0hh1,0.0,0.0
2048,0.25,1.0
AtomicGameEngine,0.0,0.0
BEMSimpleLineGraph,0.0,0.0
BrowserQuest,0.0,0.0
CNTK,1.0,1.0
Caret,1.0,1.0
Chart.js,1.0,1.0
CodeIgniter,0.3333333333333333,1.0
Dash,1.0,1.0
Decider,1.0,1.0
GD,1.0,1.0
GamePlay,0.0,0.0
KomodoEdit,1.0,1.0
Leaflet,1.0,1.0
LightTable,1.0,1.0
MLPNeuralNet,1.0,1.0
ML_for_Hackers,1.0,1.0
MonoGame,1.0,1.0
OpenRA,0.0,0.0
PredictionIO,0.5,1.0
Ruby-warrior,1.0,1.0
Starling-Framework,1.0,1.0
Theano,1.0,1.0
Torque2D,1.0,1.0
Torque3D,1.0,1.0
adarkroom,1.0,1.0
arbor,1.0,1.0
atom,0.0,0.0
brackets,1.0,1.0
brain,1.0,1.0
caffe,1.0,1.0
cakephp,1.0,1.0
cesium,1.0,1.0
chartist-js,1.0,1.0
chroma.js,1.0,1.0
clumsy-bird,0.25,1.0
cocos2d-x,1.0,1.0
codebox,0.25,1.0
convnetjs,0.3333333333333333,1.0
d3,1.0,1.0
datumbox-framework,1.0,1.0
dc.js,1.0,1.0
derby,0.3333333333333333,1.0
dimple,1.0,1.0
django,1.0,1.0
duality,0.5,1.0
echarts,0.3333333333333333,1.0
envisionjs,1.0,1.0
epoch,1.0,1.0
express,0.0,0.0
flask,0.3333333333333333,1.0
frappe,0.0,0.0
godot,1.0,1.0
golearn,1.0,1.0
h2o-2,1.0,1.0
hextris,0.5,1.0
jmonkeyengine,1.0,1.0
jubatus,0.0,0.0
kartograph.js,0.5,1.0
keras,1.0,1.0
laravel,0.25,1.0
leo-editor,1.0,1.0
libgdx,1.0,1.0
mahout,1.0,1.0
matplotlib,0.0,0.0
mean,0.0,0.0
meteor,0.0,0.0
metrics-graphics,0.5,1.0
modestmaps-js,1.0,1.0
mxnet,1.0,1.0
neon,1.0,1.0
nupic,1.0,1.0
openage,0.0,0.0
oryx,1.0,1.0
pakyow,0.5,1.0
panda3d,1.0,1.0
pattern,0.0,0.0
peity,1.0,1.0
pygal,0.3333333333333333,1.0
rails,1.0,1.0
raw,1.0,1.0
recline,1.0,1.0
scikit-learn,1.0,1.0
seldon-server,1.0,1.0
sharelatex,0.3333333333333333,1.0
shogun,1.0,1.0
sigma.js,0.0,0.0
sinatra,0.5,1.0
slap,0.3333333333333333,1.0
spring,1.0,1.0
spring-framework,1.0,1.0
superpowers-core,0.0,0.0
symfony,1.0,1.0
tensorflow,1.0,1.0
textmate,0.0,0.0
turbulenz_engine,0.0,0.0
untrusted,0.0,0.0
vim.js,1.0,1.0
web2py,0.0,0.0
xenko,1.0,1.0
xgboost,1.0,1.0
zed,1.0,1.0
